Field Name	Type	System	Content Pack
Jira Summary	Short Text	Yes	Atlassian Jira
Jira Transitions	Single Select	Yes	Atlassian Jira
JiraV3 Status	Single Select	Yes	Atlassian Jira
Job Code	Short Text	Yes	Common Types
Job Family	Short Text	Yes	Common Types
Job Function	Short Text	Yes	Common Types
Jobs Created	Grid	Yes	XSOAR CI/CD
Labels	Internal	Yes	
LastMirroredInTime	Date Picker	Yes	Cortex XDR by Palo Alto Networks
Last Mirrored Time Stamp	Date Picker	Yes	Common Types
Last Modified By	Short Text	Yes	Common Types
Last Modified On	Short Text	Yes	Common Types
Last Name	Short Text	Yes	Common Types
Last Seen	Short Text	Yes	Common Types
Last Update Time	Short Text	Yes	Common Types
Lateral Movement Remediation Products	Markdown	Yes	MITRE ATT&CK - Courses of Action
Leadership	Short Text	Yes	Common Types
Likely Impact	Short Text	Yes	Common Scripts
Linked Count	Internal	Yes	
Link To Offense	URL	Yes	IBM QRadar
List Of Rules - Event	Multi Select	Yes	Common Types
List of Rules - Offense	Multi Select	Yes	IBM QRadar
Lists Created	Grid	Yes	XSOAR CI/CD
Local IP	Multi Select	Yes	Core Alert Fields
Local Port	Multi Select	Yes	Core Alert Fields
Location	Short Text	Yes	Common Types
Location - Asset	Multi Select	Yes	Asset
Location Region	Short Text	Yes	Common Types
Log Source	Short Text	Yes	Common Types
Log Source Name	Multi Select	Yes	Common Types
Log Source Type	Multi Select	Yes	Common Types
Low Level Categories Events	Multi Select	Yes	Common Types
Low Level Categories - Offense	Multi Select	Yes	IBM QRadar
MAC Address - Asset	Multi Select	Yes	Asset
Macro Source Code	Long Text	Yes	Common Types
Magnitude - Offense	Number	Yes	IBM QRadar
Malicious Behavior	Short Text	Yes	Malware Core
Malicious Cause (If the cause is a malicious attack)	Multi Select	Yes	Common Scripts
Malicious URL Clicked	Short Text	Yes	Phishing
Malicious URL Viewed	Short Text	Yes	Phishing
Malware Family	Short Text	Yes	Malware Core
Malware Name	Short Text	Yes	Malware Core
Management Notification	Single Select	Yes	Common Scripts
Manager Email Address	Short Text	Yes	Common Types
Manager Name	Short Text	Yes	Common Types
Marketplace Packs Installed	Grid	Yes	XSOAR CI/CD
Measures to Mitigate	Short Text	Yes	Common Scripts
Media Notification	Single Select	Yes	Common Scripts
Medical Information breached	Short Text	Yes	Common Scripts
Microsoft 365 Defender A	Grid	Yes	Microsoft 365 Defender
Microsoft 365 Defender Active	Short Text	Yes	Microsoft 365 Defender
Microsoft 365 Defender Categories count	Grid	Yes	Microsoft 365 Defender
Microsoft 365 Defender Classification	Single Select	Yes	Microsoft 365 Defender
Microsoft 365 Defender Comments	Grid	Yes	Microsoft 365 Defender
Microsoft 365 Defender Devices	Grid	Yes	Microsoft 365 Defender
Microsoft 365 Defender Display Name	Short Text	Yes	Microsoft 365 Defender
Microsoft 365 Defender First activity	Short Text	Yes	Microsoft 365 Defender
Microsoft 365 Defender ID	Number	Yes	Microsoft 365 Defender
Microsoft 365 Defender Last activity	Short Text	Yes	Microsoft 365 Defender
Microsoft 365 Defender Status	Single Select	Yes	Microsoft 365 Defender
Microsoft Defender for Endpoint Evidence Creation Time	Multi Select	Yes	Microsoft Defender for Endpoint
Microsoft Defender for Endpoint Evidence Type	Multi Select	Yes	Microsoft Defender for Endpoint
Microsoft Graph Security Alert Determination	Short Text	Yes	Microsoft Graph Security
Microsoft Graph Security Alert Evidence	Markdown	Yes	Microsoft Graph Security
Microsoft Graph Security Comment	Multi Select	Yes	Microsoft Graph Security
Microsoft Graph Security Detector Id	Short Text	Yes	Microsoft Graph Security
Microsoft Graph Security Id	Short Text	Yes	Microsoft Graph Security
Microsoft Graph Security Recommended Action	Short Text	Yes	Microsoft Graph Security
Microsoft Graph Security Service Source	Short Text	Yes	Microsoft Graph Security
Microsoft Sentinel Alert Count	Short Text	Yes	Microsoft Sentinel
Microsoft Sentinel Alerts	Long Text	Yes	Microsoft Sentinel
Microsoft Sentinel Classification Comment	Short Text	Yes	Microsoft Sentinel
Microsoft Sentinel Classification Reason	Single Select	Yes	Microsoft Sentinel
Microsoft Sentinel Comments	Long Text	Yes	Microsoft Sentinel
Microsoft Sentinel Entities	Long Text	Yes	Microsoft Sentinel
Microsoft Sentinel Incident Number	Short Text	Yes	Microsoft Sentinel
Microsoft Sentinel Owner	Grid	Yes	Microsoft Sentinel
Microsoft Sentinel Relations	Long Text	Yes	Microsoft Sentinel
Microsoft Sentinel Rule Id	Multi Select	Yes	Microsoft Sentinel
Misc	Multi Select	Yes	Core Alert Fields
Mitigation Task Count	Short Text	Yes	Rapid Breach Response
Mitre ATT&CK Tactic	Multi Select	Yes	Core Alert Fields
Mitre ATT&CK Technique	Multi Select	Yes	Core Alert Fields
MITRE Tactic ID	Multi Select	Yes	Common Types
MITRE Tactic Name	Multi Select	Yes	Common Types
MITRE Technique ID	Multi Select	Yes	Common Types
MITRE Technique Name	Multi Select	Yes	Common Types
Mobile Device Model	Short Text	Yes	Common Types
Mobile Phone	Short Text	Yes	Common Types
Module	Multi Select	Yes	Core Alert Fields
Name	Short Text	Yes	
NGFW Vsys Name	Multi Select	Yes	Core Alert Fields
NIST Stage	Short Text	Yes	NIST
Normalized Data	Long Text	No	
Notable Drilldown	Markdown	Yes	Splunk
Notable - ID	Short Text	Yes	Splunk
Notable Status	Single Select	Yes	Splunk
Notable Urgency	Single Select	Yes	Splunk
Number Of Events In Offense	Number	Yes	IBM QRadar
Number Of Fetched Events	Number	Yes	IBM QRadar
Number Of Flows	Number	Yes	IBM QRadar
Number Of Found Related Alerts	Number	Yes	Common Types
Number Of Log Sources	Number	Yes	Common Types
Number of Related Incidents	Number	Yes	Common Types
Number of similar files	Number	Yes	Common Types
Objective	Multi Select	Yes	Common Types
Occurred	Date Picker	Yes	
Offense Inactive	Boolean	Yes	IBM QRadar
Operation Name	Multi Select	Yes	Common Types
Org Level 1	Short Text	Yes	Common Types
Org Level 2	Short Text	Yes	Common Types
Org Level 3	Short Text	Yes	Common Types
Org Unit	Short Text	Yes	Common Types
Original Alert ID	Short Text	Yes	Common Types
Original Alert Name	Short Text	Yes	Common Types
Original Alert Source	Short Text	Yes	Common Types
Original Description	Short Text	Yes	Common Types
Original Events	Multi Select	Yes	Common Types
OS	Short Text	Yes	Common Types
OS Parent CMD	Multi Select	Yes	Core Alert Fields
OS Parent TID	Multi Select	Yes	Core Alert Fields
OS Parent Name	Multi Select	Yes	Core Alert Fields
OS Parent PID	Multi Select	Yes	Core Alert Fields
OS Parent SHA256	Multi Select	Yes	Core Alert Fields
OS Parent Signature	Multi Select	Yes	Core Alert Fields
OS Parent Signer	Multi Select	Yes	Core Alert Fields
OS Parent User Name	Multi Select	Yes	Core Alert Fields
OS Type	Short Text	Yes	Common Types
Other PII data breached	Short Text	Yes	Common Scripts
OutgoingMirrorError	Long Text	Yes	Common Types
owner	Single Select	Yes	
Parent Process CMD	Multi Select	Yes	Common Types
Parent Process File Path	Multi Select	Yes	Common Types
Parent Process ID	Short Text	Yes	Malware Core
Parent Process IDs	Multi Select	Yes	Common Types
Parent Process MD5	Multi Select	Yes	Common Types
Parent Process Name	Multi Select	Yes	Common Types
Parent Process Path	Multi Select	Yes	Common Types
Parent Process SHA256	Multi Select	Yes	Common Types
Part of Campaign	Short Text	Yes	Common Types
Password Changed Date	Short Text	Yes	Common Types
Password Reset Successfully	Boolean	Yes	Common Types
Persistence Remediation Products	Markdown	Yes	MITRE ATT&CK - Courses of Action
Personal Email	Short Text	Yes	Common Types
Phase	Single Select	Yes	
Phishing BCL Score	Number	Yes	Phishing
phishing_domain	Short Text	No	
Phishing PCL Score	Number	Yes	Phishing
Phishing Reporter Email Headers	Grid	Yes	Phishing
Phishing SCL Score	Number	Yes	Phishing
Phishing Sub-type	Multi Select	Yes	Phishing
Phone Number	Multi Select	Yes	Common Types
PII Data Type	Short Text	Yes	Common Scripts
Playbook Description	Markdown	Yes	Rapid Breach Response
Playbook	Single Select	Yes	
Policy Actions	Multi Select	Yes	Common Types
Policy Deleted	Short Text	Yes	Common Types
Policy Description	Long Text	Yes	Common Types
Policy Details	Short Text	Yes	Common Types
Policy ID	Short Text	Yes	Common Types
Policy Recommendation	Long Text	Yes	Common Types
Policy Remediable	Short Text	Yes	Common Types
Policy Severity	Short Text	Yes	Common Types
Policy Type	Short Text	Yes	Common Types
Policy URI	Short Text	Yes	Common Types
Possible Cause of the Breach	Multi Select	Yes	Common Scripts
Postal Code	Short Text	Yes	Common Scripts
Post Nat Destination IP	Multi Select	Yes	Common Types
Post Nat Destination Port	Multi Select	Yes	Common Types
Post Nat Source IP	Multi Select	Yes	Common Types
Post Nat Source Port	Multi Select	Yes	Common Types
Pre Nat Destination Port	Multi Select	Yes	Common Types
Pre Nat Source IP	Multi Select	Yes	Common Types
Pre Nat Source Port	Multi Select	Yes	Common Types
Previous Coordinates	Short Text	Yes	Impossible Traveler
Previous Sign In Date Time	Date Picker	Yes	Impossible Traveler
Previous Source IP	Short Text	Yes	Impossible Traveler
Prisma Cloud Dismissal Note	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Prisma Cloud - Findings Results	Grid	Yes	Prisma Cloud by Palo Alto Networks
Prisma Cloud - IAM Results	Grid	Yes	Prisma Cloud by Palo Alto Networks
Prisma Cloud ID	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Prisma Cloud Reason	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Prisma Cloud Rules	Grid	Yes	Prisma Cloud by Palo Alto Networks
Prisma Cloud Status	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Prisma Cloud Time	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Privilege Escalation Remediation Products	Markdown	Yes	MITRE ATT&CK - Courses of Action
Process CMD	Multi Select	Yes	Common Types
Process Creation Time	Multi Select	Yes	Common Types
Process execution signature	Multi Select	Yes	Core Alert Fields
Process execution signer	Multi Select	Yes	Core Alert Fields
Process ID	Multi Select	Yes	Common Types
Process MD5	Multi Select	Yes	Common Types
Process Names	Multi Select	Yes	Common Types
Process Paths	Multi Select	Yes	Common Types
Process SHA256	Multi Select	Yes	Common Types
Project ID	Multi Select	Yes	Common Types
Protocol names	Multi Select	Yes	Common Types
Quarantined	Short Text	Yes	Malware Core
Ransomware Approximate Number Of Encrypted Endpoints	Short Text	Yes	Ransomware
Ransomware Cryptocurrency Address	Multi Select	Yes	Ransomware
Ransomware Cryptocurrency Address Type	Multi Select	Yes	Ransomware
Ransomware Data Encryption Status	Short Text	Yes	Ransomware
Ransomware Email	Multi Select	Yes	Ransomware
Ransomware Encrypted File Owner	Short Text	Yes	Ransomware
Ransomware Note	Long Text	Yes	Ransomware
Ransomware Onion Address	Multi Select	Yes	Ransomware
Ransomware Recovery Tool	Short Text	Yes	Ransomware
Ransomware Strain	Short Text	Yes	Ransomware
Rating	Short Text	Yes	Common Types
Raw Event	Multi Select	Yes	Common Types
Referenced Resource ID	Multi Select	Yes	Common Types
Referenced Resource Name	Multi Select	Yes	Common Types
Region	Short Text	Yes	Common Types
Region ID	Short Text	Yes	Common Types
Registration Email	Short Text	Yes	Common Types
Registry data	Multi Select	Yes	Core Alert Fields
Registry full key	Multi Select	Yes	Core Alert Fields
Registry Hive	Multi Select	Yes	Common Types
Registry Key	Multi Select	Yes	Common Types
Registry Value	Multi Select	Yes	Common Types
Registry Value Type	Multi Select	Yes	Common Types
Related Alerts	Markdown	Yes	Common Types
Related Campaign	Short Text	Yes	Common Types
Related Endpoints	Short Text	Yes	Common Types
Related Report	Short Text	Yes	Common Types
Relevance - Offense	Number	Yes	IBM QRadar
Remaining Task Count	Short Text	Yes	Rapid Breach Response
Remediated Techniques	Markdown	Yes	MITRE ATT&CK - Courses of Action
Remediation SLA	Timer	Yes	Common Types
Remediation Task Count	Short Text	Yes	Rapid Breach Response
Remidiation	Short Text	No	
Reminder	Date Picker	Yes	
Remote Agent Hostname	Multi Select	Yes	Core Alert Fields
Remote Host	Multi Select	Yes	Core Alert Fields
Remote IP	Multi Select	Yes	Core Alert Fields
Remote Port	Multi Select	Yes	Core Alert Fields
RemovedFromCampaigns	Multi Select	Yes	Common Types
Rendered HTML	HTML	Yes	Common Types
Reported Email CC	Short Text	Yes	Phishing
Reported Email From	Short Text	Yes	Phishing
Reported Email Message ID	Short Text	Yes	Phishing
Reported Email Origin	Single Select	Yes	Phishing
Reported Email Subject	Short Text	Yes	Phishing
Reported Email To	Short Text	Yes	Phishing
Reporter Email Address	Short Text	Yes	Common Types
Report Name	Markdown	Yes	Common Types
Resident Notification Option	Short Text	Yes	Common Scripts
Residents Email Address	Grid	Yes	Common Scripts
Resource API Name	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Resource Cloud Type	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Resource Name	Short Text	Yes	Common Types
Resource Type	Short Text	Yes	Common Types
Resource URL	Short Text	Yes	Common Types
Retained	Internal	Yes	
Risk Name	Short Text	Yes	Common Types
Risk Rating	Short Text	Yes	Common Types
Risk Score	Short Text	Yes	Common Types
RiskyIAMUser	Boolean	No	
RRN	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Detection Rule ID	Short Text	Yes	Core Alert Fields
Rule Name	Short Text	Yes	Common Types
Playbook Run Status	Internal	Yes	
sAMAccountName	Short Text	Yes	Common Types
Scenario	Multi Select	Yes	Common Types
Secretary Notification	Single Select	Yes	Common Scripts
Sector of Affected Party	Short Text	Yes	Common Scripts
Selected Indicators	Multi Select	Yes	Common Types
Sensor IP	Short Text	Yes	Common Types
ServiceNow Assigned To	Short Text	Yes	ServiceNow
ServiceNow Assignment Group	Short Text	Yes	ServiceNow
ServiceNow Attack Vector	Short Text	Yes	ServiceNow
ServiceNow Business Impact	Single Select	Yes	ServiceNow
ServiceNow Caller	Short Text	Yes	ServiceNow
ServiceNow Caller ID	Short Text	Yes	ServiceNow
ServiceNow Closed By	Short Text	Yes	ServiceNow
ServiceNow Closed Date	Date Picker	Yes	ServiceNow
ServiceNow Description	Long Text	Yes	ServiceNow
ServiceNow Due Date	Date Picker	Yes	ServiceNow
ServiceNow Escalation	Short Text	Yes	ServiceNow
ServiceNow Impact	Single Select	Yes	ServiceNow
ServiceNow Notify	Single Select	Yes	ServiceNow
ServiceNow Priority	Single Select	Yes	ServiceNow
ServiceNow Resolution Code	Short Text	Yes	ServiceNow
ServiceNow Resolution Notes	Short Text	Yes	ServiceNow
ServiceNow Resolved Time	Date Picker	Yes	ServiceNow
ServiceNow Severity	Single Select	Yes	ServiceNow
ServiceNow SIR Category	Single Select	Yes	ServiceNow
ServiceNow SIR State	Single Select	Yes	ServiceNow
ServiceNow State	Single Select	Yes	ServiceNow
ServiceNow Ticket ID	Short Text	Yes	ServiceNow
ServiceNow Ticket Number	Short Text	Yes	ServiceNow
ServiceNow Urgency	Single Select	Yes	ServiceNow
Severity	Single Select	Yes	
Severity - Offense	Number	Yes	IBM QRadar
SHA1	Short Text	Yes	Common Types
SHA512	Short Text	Yes	Common Types
Signature	Short Text	Yes	Common Types
Sign In Date Time	Date Picker	Yes	Impossible Traveler
similarIncidents	Multi Select	Yes	Common Types
Similar incidents Dbot	Grid	Yes	Common Types
Size - number of employees	Short Text	Yes	Common Scripts
Size - turnover	Short Text	Yes	Common Scripts
SKU Name	Short Text	Yes	Common Types
SKU TIER	Short Text	Yes	Common Types
Email Campaign ID	Short Text	Yes	SOC Framework Unified
Email Classification	Single Select	Yes	SOC Framework Unified
Email Click IP	Short Text	Yes	SOC Framework Unified
Email Click Time	Short Text	Yes	SOC Framework Unified
Email Delivery Action	Single Select	Yes	SOC Framework Unified
Email Direction	Single Select	Yes	SOC Framework Unified
Email Malware Score	Number	Yes	SOC Framework Unified
Email Phish Score	Number	Yes	SOC Framework Unified
Email Threat ID	Short Text	Yes	SOC Framework Unified
Email Threat Status	Single Select	Yes	SOC Framework Unified
Email Threat Type	Single Select	Yes	SOC Framework Unified
Email Threat URL	Short Text	Yes	SOC Framework Unified
Identity Auth Source	Single Select	Yes	SOC Framework Unified
Identity Client IP	Short Text	Yes	SOC Framework Unified
Identity Country	Short Text	Yes	SOC Framework Unified
Identity Event Type	Single Select	Yes	SOC Framework Unified
Identity Outcome	Single Select	Yes	SOC Framework Unified
Identity Risk Level	Single Select	Yes	SOC Framework Unified
Identity Display Name	Short Text	Yes	SOC Framework Unified
Identity Email	Short Text	Yes	SOC Framework Unified
Identity Username	Short Text	Yes	SOC Framework Unified
Detection Method	Single Select	Yes	
Source Category	Short Text	Yes	Common Types
Source Created By	Short Text	Yes	Common Types
Source Create time	Short Text	Yes	Common Types
Source External IPs	Multi Select	Yes	Common Types
Source Geolocation	Multi Select	Yes	Common Types
Source Id	Short Text	Yes	Common Types
Source Instance	Short Text	Yes	
Source Networks	Multi Select	Yes	Common Types
Source Of Indicators	Grid	Yes	Rapid Breach Response
Source Priority	Short Text	Yes	Common Types
Source Status	Short Text	Yes	Common Types
Source Updated by	Short Text	Yes	Common Types
Source Urgency	Short Text	Yes	Common Types
Source Zone Name	Multi Select	Yes	Core Alert Fields
Splunk Comments	Multi Select	Yes	Splunk
Splunk Dest Risk Object Type	Short Text	Yes	Splunk
Splunk Dest Risk Score	Number	Yes	Splunk
Splunk Disposition	Single Select	Yes	Splunk
Splunk Drilldown	Markdown	Yes	Splunk
Splunk Notes	Multi Select	Yes	Splunk
Splunk Security Domain	Short Text	Yes	Splunk
Splunk Sensitivity	Short Text	Yes	Splunk
Splunk Status	Single Select	Yes	Splunk
Splunk Urgency	Single Select	Yes	Splunk
Src OS	Short Text	Yes	Common Types
SSDeep	Short Text	Yes	Common Types
Starred	Boolean	Yes	Core Alert Fields
Start Time	Short Text	Yes	Common Types
State	Short Text	Yes	Common Types
State CISO Notification	Single Select	Yes	Common Scripts
State where the breach took place	Single Select	Yes	Common Scripts
Status - Offense	Short Text	Yes	IBM QRadar
Status Reason	Short Text	Yes	Common Types
Street Address	Short Text	Yes	Common Types
String Similarity Results	Markdown	Yes	Common Types
Sub Category	Short Text	Yes	Common Types
Subscription Assigned By	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Subscription Created By	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Subscription Created On	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Subscription Description	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Subscription ID	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Subscription Name	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Subscription Type	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Subscription Updated By	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Subscription Updated On	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Subtype	Short Text	Yes	Common Types
Successful Asset Enrichment	Short Text	Yes	Splunk
Successful Drilldown Enrichment	Short Text	Yes	Splunk
Successful Identity Enrichment	Short Text	Yes	Splunk
Surname	Short Text	Yes	Common Types
Suspicious Executions	Grid	Yes	Common Types
Suspicious Executions Found	Markdown	Yes	Common Types
Switch ID - Asset	Multi Select	Yes	Asset
Switch Port ID - Asset	Multi Select	Yes	Asset
System Default	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Tactic	Multi Select	Yes	Common Types
Tactic ID	Multi Select	Yes	Common Types
tamartestaudit	Short Text	No	
Target	Short Text	Yes	PAN-OS by Palo Alto Networks
Target Firewall Version	Short Text	Yes	PAN-OS by Palo Alto Networks
target_ip	Short Text	No	
Target process CMD	Multi Select	Yes	Core Alert Fields
Target process name	Multi Select	Yes	Core Alert Fields
Target process SHA256	Multi Select	Yes	Core Alert Fields
Team name	Short Text	Yes	Common Types
Technical Owner	Multi Select	Yes	Common Types
Technical Owner Contact	Multi Select	Yes	Common Types
Technical User	Multi Select	Yes	Common Types
Technique	Multi Select	Yes	Common Types
Technique ID	Multi Select	Yes	Common Types
Techniques List	Long Text	Yes	MITRE ATT&CK - Courses of Action
Techniques to Handle	Markdown	Yes	MITRE ATT&CK - Courses of Action
Telephone no.	Short Text	Yes	Common Scripts
Tenant Name	Short Text	Yes	Common Types
Terminated Action	Short Text	Yes	Malware Core
TestPBActions	Short Text	No	
Threat Actor	Short Text	Yes	Malware Core
Threat Family Name	Short Text	Yes	Common Types
Threat Name	Short Text	Yes	Common Types
Ticket Acknowledged Date	Date Picker	Yes	Common Types
Ticket Closed Date	Date Picker	Yes	Common Types
Ticket Number	Short Text	Yes	Common Types
Timestamp	Date Picker	Yes	Core Alert Fields
Time to Assignment	Timer	Yes	Common Types
Timezone	Short Text	Yes	Common Types
Title	Short Text	Yes	Common Types
Total Indicator Count	Short Text	Yes	Rapid Breach Response
Total Malicious URLs Clicks	Number	Yes	Phishing
Total Task Count	Short Text	Yes	Rapid Breach Response
Traffic Direction	Multi Select	Yes	Common Types
Travel Map Link	Short Text	Yes	Impossible Traveler
Triage SLA	Timer	Yes	Common Types
Triggered Security Profile	Short Text	Yes	Common Types
Type	Single Select	Yes	
Unhandled Techniques	Grid	Yes	MITRE ATT&CK - Courses of Action
Unique biometric data breached	Short Text	Yes	Common Scripts
Unique identification number breached	Short Text	Yes	Common Scripts
Unique Ports	Short Text	Yes	Common Types
URL	Multi Select	Yes	Core Alert Fields
URL Filtering Profile Name	Short Text	Yes	MITRE ATT&CK - Courses of Action
URL Filtering Profile Status	Short Text	Yes	MITRE ATT&CK - Courses of Action
URL Filtering Rules	Short Text	Yes	MITRE ATT&CK - Courses of Action
URLs	Multi Select	Yes	Common Types
URL SSL Verification	Grid	Yes	Common Types
Use Case Description	Markdown	Yes	Common Types
userAccountControl	Short Text	Yes	Common Types
User Agent	Multi Select	Yes	Core Alert Fields
User Anomaly Count	Short Text	Yes	Common Types
User Block Status	Short Text	Yes	Common Types
User Creation Time	Short Text	Yes	Common Types
User Engagement Response	Short Text	Yes	Common Types
User Groups	Multi Select	Yes	Common Types
User Id	Short Text	Yes	Common Types
User name	Multi Select	Yes	Core Alert Fields
Username Count - Offense	Number	Yes	IBM QRadar
User Risk Level	Short Text	Yes	Core Alert Fields
User Risk Reasons	Multi Select	Yes	Core Alert Fields
Users Details	Markdown	Yes	Common Types
User SID	Multi Select	Yes	Common Types
UUID	Short Text	Yes	Common Types
Vendor ID	Short Text	Yes	Common Types
Vendor Product	Short Text	Yes	Common Types
Verdict	Short Text	Yes	Common Types
Verification Method	Short Text	Yes	Common Types
Verification Status	Short Text	Yes	Common Types
victim_email	Short Text	No	
VPC ID	Short Text	Yes	Prisma Cloud by Palo Alto Networks
Vulnerability Category	Short Text	Yes	Common Types
Vulnerability Protection Profile Name	Short Text	Yes	MITRE ATT&CK - Courses of Action
Vulnerability Protection Profile Status	Short Text	Yes	MITRE ATT&CK - Courses of Action
Vulnerability Protection Rules	Short Text	Yes	MITRE ATT&CK - Courses of Action
Vulnerable Product	Short Text	Yes	Common Types
Were any steps or actions taken that might have inhibited the recovery?	Short Text	Yes	NIST
What additional tools or resources are needed to detect, analyze, and mitigate future incidents?	Short Text	Yes	NIST
What corrective actions can prevent similar incidents in the future?	Short Text	Yes	NIST
What information was needed sooner?	Short Text	Yes	NIST
What precursors or indicators should be watched for in the future to detect similar incidents?	Short Text	Yes	NIST
What would the staff and management do differently the next time a similar incident occurs?	Short Text	Yes	NIST
Where is data hosted	Multi Select	Yes	Common Scripts
WildFire Profile Name	Short Text	Yes	MITRE ATT&CK - Courses of Action
WildFire Profile Status	Short Text	Yes	MITRE ATT&CK - Courses of Action
WildFire Rules	Short Text	Yes	MITRE ATT&CK - Courses of Action
Work Phone	Short Text	Yes	Common Types
XDR Alert Category	Multi Select	Yes	Cortex XDR by Palo Alto Networks
XDR Alert Count	Number	Yes	Cortex XDR by Palo Alto Networks
XDR Alert Name	Multi Select	Yes	Cortex XDR by Palo Alto Networks
XDR Alerts	Grid	Yes	Cortex XDR by Palo Alto Networks
XDR Alert Search Results	Grid	Yes	Cortex XDR by Palo Alto Networks
XDR Assigned User Email	Short Text	Yes	Cortex XDR by Palo Alto Networks
XDR Assigned User Pretty Name	Short Text	Yes	Cortex XDR by Palo Alto Networks
XDR Description	Short Text	Yes	Cortex XDR by Palo Alto Networks
XDR Detection Time	Date Picker	Yes	Cortex XDR by Palo Alto Networks
XDR device control violations	Grid	Yes	Cortex XDR by Palo Alto Networks
XDR Disconnected endpoints	Grid	Yes	Cortex XDR by Palo Alto Networks
XDR File Artifacts	Grid	Yes	Cortex XDR by Palo Alto Networks
XDR File Name	Multi Select	Yes	Cortex XDR by Palo Alto Networks
XDR File SHA256	Multi Select	Yes	Cortex XDR by Palo Alto Networks
XDR High Severity Alert Count	Number	Yes	Cortex XDR by Palo Alto Networks
XDR Host Count	Number	Yes	Cortex XDR by Palo Alto Networks
XDR Incident ID	Short Text	Yes	Cortex XDR by Palo Alto Networks
XDR Investigation results	Grid	Yes	Cortex XDR by Palo Alto Networks
XDR Low Severity Alert Count	Number	Yes	Cortex XDR by Palo Alto Networks
XDR manual severity	Short Text	Yes	Cortex XDR by Palo Alto Networks
XDR Medium Severity Alert Count	Number	Yes	Cortex XDR by Palo Alto Networks
XDR MITRE Tactics	Multi Select	Yes	Cortex XDR by Palo Alto Networks
XDR MITRE Techniques	Multi Select	Yes	Cortex XDR by Palo Alto Networks
XDR Modification Time	Date Picker	Yes	Cortex XDR by Palo Alto Networks
XDR Network Artifacts	Grid	Yes	Cortex XDR by Palo Alto Networks
XDR Notes	Short Text	Yes	Cortex XDR by Palo Alto Networks
XDR Resolve Comment	Short Text	Yes	Cortex XDR by Palo Alto Networks
XDR Risky Host Count	Number	Yes	Cortex XDR by Palo Alto Networks
XDR Risky Hosts	Grid	Yes	Cortex XDR by Palo Alto Networks
XDR Risky User Count	Number	Yes	Cortex XDR by Palo Alto Networks
XDR Risky Users	Grid	Yes	Cortex XDR by Palo Alto Networks
XDR Similar Incidents	Grid	Yes	Cortex XDR by Palo Alto Networks
XDR Starred	Boolean	Yes	Cortex XDR by Palo Alto Networks
XDR Status	Short Text	Yes	Cortex XDR by Palo Alto Networks
XDR Status v2	Single Select	Yes	Cortex XDR by Palo Alto Networks
XDR URL	URL	Yes	Cortex XDR by Palo Alto Networks
XDR User Count	Number	Yes	Cortex XDR by Palo Alto Networks
XDR Users	Multi Select	Yes	Cortex XDR by Palo Alto Networks
XFF	Multi Select	Yes	Core Alert Fields
Zip Code	Short Text	Yes	Common Types
Local IPv6	Multi Select	Yes	
Remote IPv6	Multi Select	Yes	
Added in Content Version	Short Text	Yes	
Agentic AI response	Multi Select	Yes	
Agentic AI response status	Single Select	Yes	
Host IPv6	Multi Select	Yes	
Issue Domain	Single Select	Yes	
Asset IDs	Multi Select	Yes	
Assignee Email	Short Text	Yes	
Assignee	Short Text	Yes	
Prisma Attack Techniques	Multi Select	Yes	
Prisma Audit IDs	Multi Select	Yes	
Case ID	Number	Yes	
Case IDs	Multi Select	Yes	
Cloud Labels	Multi Select	Yes	
Cloud Provider Account ID	Short Text	Yes	
Cloud Service Name	Short Text	Yes	
Container Name	Multi Select	Yes	
Database Name	Short Text	Yes	
Issues Detection Modules	Multi Select	Yes	
Destination Unified Asset Inventory ID	Multi Select	Yes	
Destination Unified Asset Inventory Version	Multi Select	Yes	
Remaining Exception Period	Date Picker	Yes	
Extended Description	Short Text	Yes	
External Id	Short Text	Yes	
External URL	Short Text	Yes	
Original Tags	Short Text	Yes	
Findings	Multi Select	Yes	
Forensics Artifact Type	Multi Select	Yes	
Image ID	Multi Select	Yes	
Impact	Short Text	Yes	
Ingestion Failure Duration	Number	Yes	
Externally Detected Provider	Multi Select	Yes	
Initial Evidence	Short Text	Yes	
Issue Id	Short Text	Yes	
Excepted	Boolean	Yes	
Is rule triggered	Boolean	Yes	
Legacy Last Modified By	Short Text	Yes	
Legacy Last Modified On	Short Text	Yes	
